objeto;data_evento;evento;cliente;trecho;evento_trecho;unid_origem;unid_destino;dr_origem;dr_destino;gestao_prealerta;automatico;manual;total;macroprocesso;postado;ultimo_evento_extraviado;ultimo_evento_em_transito;ultimo_evento;ultimo_evento_data;evento_finalizador;tipo;analise_sro;unid_origem_apelido;unid_destino_apelido;trecho_real;se_postagem;unidade_postagem;data_postagem;familia;ultimo_evento_sinistro
OL906125241BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF MORUMBI;2020-12-21;ENCOMENDA PAC;nao
OL906934765BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;TRAY TECNOLOGIA EM ECOMMERCE LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPI;AGF JOSE PANCETTI;2020-12-21;ENCOMENDA PAC;nao
OL906995795BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;NOVITATE IND E COM DE ARTIGOS DE PAPELAR;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF JUSCELINO KUBITSCHEK;2020-12-21;ENCOMENDA PAC;nao
OL906996977BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;NOVITATE IND E COM DE ARTIGOS DE PAPELAR;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF JUSCELINO KUBITSCHEK;2020-12-21;ENCOMENDA PAC;nao
OL907244642BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;BAZAR E PAPELARIA HORIZONTE LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF VILA ANTONIETA;2020-12-21;ENCOMENDA PAC;nao
OL907395934BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;SAMBURA CALCADOS E ACESSORIOS LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL907574808BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;RS;AC TORRES;2020-12-21;ENCOMENDA PAC;nao
OL908077053BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;ENJOEI COM BR ATIVIDADES DE INTERNET LTD;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-12;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPI;AGF MARIA MONTEIRO;2020-12-21;ENCOMENDA PAC;nao
OL908884797BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;MS;AC MUNDO NOVO;2020-12-21;ENCOMENDA PAC;sim
OL909335346BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-12;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF PARQUE NOVO MUNDO;2020-12-21;ENCOMENDA PAC;nao
OL909340403BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-12;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF PARQUE NOVO MUNDO;2020-12-21;ENCOMENDA PAC;nao
OL912844940BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL917051451BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPI;AC CESARIO LANGE;2020-12-21;ENCOMENDA PAC;nao
OL923726630BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTCE BELO HORIZONTE (MG) - CEE BRASILIA NORTE;Objeto expedido;CTCE BELO HORIZONTE;CEE BRASILIA NORTE;MG;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CTCE BELO HORIZONTE;CEE BRASILIA NORTE;Trecho;MG;AGF BERNARDINO DE LIMA;2020-12-22;ENCOMENDA PAC;sim
OL923742155BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF AVENIDA AMADOR BUENO;2020-12-21;ENCOMENDA PAC;nao
OL924500221BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL924906584BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE SAO JOSE DOS CAMPOS (SPI) - CTE BRASILIA;Objeto expedido;CTE SAO JOSE DOS CAMPOS;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE SAO JOSE DOS CAMPOS;CTE BRASILIA;Trecho;SPI;AC APARECIDA;2020-12-23;ENCOMENDA PAC;sim
OL924909930BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;FERA PISKE IMPORT E EXP LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF COSTA BARROS;2020-12-21;ENCOMENDA PAC;nao
OL924961603BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;ENJOEI COM BR ATIVIDADES DE INTERNET LTD;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF TIRADENTES;2020-12-21;ENCOMENDA PAC;nao
OL924985485BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF VILA ASSIS BRASIL;2020-12-23;ENCOMENDA PAC;sim
OL925312352BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL925508270BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;MAGAZINE LUIZA SA;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPI;AGF JOAQUIM CARLOS;2020-12-22;ENCOMENDA PAC;sim
OL925550025BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;VICTOR TIDEI DE OLIVEIRA 47599016805;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AC GUAICURUS;2020-12-21;ENCOMENDA PAC;nao
OL925572817BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-23;ENCOMENDA PAC;sim
OL925904032BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;AGF SIA POSTAL (BSB) - CTE BRASILIA;Objeto expedido;AGF SIA POSTAL;CTE BRASILIA;BSB;BSB;Gestao Manual;0;1;1;cap-trat;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;AGF SIA POSTAL;CTE BRASILIA;Trecho;BSB;AGF SIA POSTAL;2020-12-23;ENCOMENDA PAC;nao
OL926085895BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;ENJOEI COM BR ATIVIDADES DE INTERNET LTD;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AC PARQUE DAS ARVORES;2020-12-21;ENCOMENDA PAC;nao
OL926496198BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL926570358BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;PONTO CENTRAL PECAS E ACESSORIOS LTDA ME;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-12;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;SPM;AGF PRACA SILVIO ROMERO;2020-12-21;ENCOMENDA PAC;nao
OL926869805BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF PRACA DOS REMEDIOS;2020-12-23;ENCOMENDA PAC;sim
OL926873243BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF MARIA CANDIDA;2020-12-23;ENCOMENDA PAC;sim
OL926929075BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AC VARGEM GRANDE PAULISTA;2020-12-23;ENCOMENDA PAC;sim
OL927055775BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL927385750BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF SENADOR VERGUEIRO;2020-12-23;ENCOMENDA PAC;sim
OL927767820BR;2021-01-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;VITA BE COSMETICOS EIRELI;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-13;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL928135665BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF PARQUE SAO JORGE;2020-12-23;ENCOMENDA PAC;sim
OL928164026BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;SAMBURA CALCADOS E ACESSORIOS LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA SUL;Objeto expedido;CTE CAJAMAR;CEE BRASILIA SUL;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA SUL;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL928254804BR;2021-01-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-09;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AC CENTRAL DE SAO PAULO;2020-12-23;ENCOMENDA PAC;sim
OL928334034BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE FLORIANOPOLIS/GTURN3 (SC) - CTE BRASILIA;Objeto expedido;CTCE FLORIANOPOLIS/GTURN3;CTE BRASILIA;SC;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Objeto expedido;2021-01-13;nao;transito;Evento posterior ao OTU;CTCE FLORIANOPOLIS;CTE BRASILIA;Trecho;SC;AC IBIRAMA;2020-12-22;ENCOMENDA PAC;nao
OL928895710BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;UNIVERSO ONLINE SA;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPM;AGF OSWALDO COLLINO;2020-12-23;ENCOMENDA PAC;sim
OL928962961BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF MARIA CANDIDA;2020-12-23;ENCOMENDA PAC;sim
OL928966583BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;ENJOEI COM BR ATIVIDADES DE INTERNET LTD;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto expedido;2021-01-12;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPM;AGF PARQUE SAO JORGE;2020-12-21;ENCOMENDA PAC;nao
OL929445442BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF PRACA OITO DE DEZEMBRO;2020-12-23;ENCOMENDA PAC;sim
OL929771376BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF MONUMENTO;2020-12-23;ENCOMENDA PAC;sim
OL929779661BR;2021-01-12;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-12;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF VILA ASSIS BRASIL;2020-12-23;ENCOMENDA PAC;sim
OL930778439BR;2021-01-12;OBJETO EM TRÂNSITO PARA A UNIDADE.;MARIA LUARA MANHANI PIRES;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-13;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL931402255BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;CLUBE ATLETICO MINEIRO;CTCE BELO HORIZONTE (MG) - CTE BRASILIA;Objeto expedido;CTCE BELO HORIZONTE;CTE BRASILIA;MG;BSB;Gestao Automatica;1;0;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-08;nao;transito;Pendente (OTU);CTCE BELO HORIZONTE;CTE BRASILIA;Trecho;MG;AGF CAETES;2020-12-22;ENCOMENDA PAC;sim
OL938048705BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CTE BRASILIA;CDD BRASILIA SIA;Trecho;SPM;AC MOGI DAS CRUZES;2020-12-22;ENCOMENDA PAC;sim
OL940060466BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL941596009BR;2021-01-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;LFX COM ONLINE DE EQUIP DE INFORM EIRELI;CTE CAJAMAR (SPM) - CDD PLANALTINA;Objeto expedido;CTE CAJAMAR;CDD PLANALTINA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Passagem interna - objeto em LOEC suspensa;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CDD PLANALTINA;Trecho;ES;AGF FERNANDO FERRARI;2020-12-23;ENCOMENDA PAC;nao
OL942563917BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;GROWTH SUPPLEMENTS PROD ALIMENT EIRELI;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-14;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF BRASILIA;2020-12-23;ENCOMENDA PAC;nao
OL944998973BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;EMP BRAS DE CORREIOS E TELEGRAFOS;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CTE BRASILIA;CDD BRASILIA SIA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL946552720BR;2021-01-12;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE CURITIBA (PR) - CEE TAGUATINGA;Objeto expedido;CTCE CURITIBA;CEE TAGUATINGA;PR;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-12;nao;transito;Pendente (OTU);CTCE CURITIBA;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
